,index,School,School_Total,graduation_rate,Grade,Grade_Total,male_pct,female_pct,asian_pct,black_pct,hispanic_pct,white_pct,multi_pct,native_pct,learning_english_pct,disability_pct,poverty_pct,homeless_pct,School_exp,Classroom_Salary,Other_Inst_Salary,Inst_Benefits,Prof_Dev,Admin_Salary,Admin_Benefits,Other_Salaries,Other_Benefits,Other_Exp,S_T_Ratio,lt_4,four_twenty,plus_21
17,20,ACAD FOR CONSERVATION & ENVIRONMENT,350,0.9206611570247933,9,135,0.6666666666666666,0.3333333333333333,0.06666666666666667,0.6444444444444445,0.18518518518518517,0.08888888888888889,0.014814814814814815,0.0,0.13333333333333333,0.17777777777777778,0.8962962962962963,0.13333333333333333,22841.78,5728.9,1871.88,3808.39,3.1,1405.56,704.26,364.2,182.49,1053.24,14,58,42,0
18,21,ACAD FOR CONSERVATION & ENVIRONMENT,350,0.9206611570247933,10,89,0.6292134831460674,0.3707865168539326,0.033707865168539325,0.7752808988764045,0.06741573033707865,0.056179775280898875,0.056179775280898875,0.011235955056179775,0.0,0.16853932584269662,0.7415730337078652,0.10112359550561797,22841.78,5728.9,1871.88,3808.39,3.1,1405.56,704.26,364.2,182.49,1053.24,14,58,42,0
19,22,ACAD FOR CONSERVATION & ENVIRONMENT,350,0.9206611570247933,11,58,0.6896551724137931,0.3103448275862069,0.08620689655172414,0.7241379310344828,0.08620689655172414,0.034482758620689655,0.0,0.06896551724137931,0.0,0.2413793103448276,0.7931034482758621,0.1206896551724138,22841.78,5728.9,1871.88,3808.39,3.1,1405.56,704.26,364.2,182.49,1053.24,14,58,42,0
20,23,ACAD FOR CONSERVATION & ENVIRONMENT,350,0.9206611570247933,12,68,0.6470588235294118,0.35294117647058826,0.08823529411764706,0.5882352941176471,0.16176470588235295,0.058823529411764705,0.04411764705882353,0.058823529411764705,0.08823529411764706,0.16176470588235295,0.7647058823529411,0.10294117647058823,22841.78,5728.9,1871.88,3808.39,3.1,1405.56,704.26,364.2,182.49,1053.24,14,58,42,0
21,24,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,365,0.8312236286919831,9,113,0.5575221238938053,0.4424778761061947,0.02654867256637168,0.6548672566371682,0.2831858407079646,0.0,0.017699115044247787,0.017699115044247787,0.0,0.168141592920354,0.9646017699115044,0.1504424778761062,26166.24,7476.72,1536.87,4516.28,83.14,1373.34,688.11,1301.67,652.2,818.14,14,31,66,3
22,25,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,365,0.8312236286919831,10,89,0.5280898876404494,0.47191011235955055,0.02247191011235955,0.5842696629213483,0.34831460674157305,0.0,0.0,0.0449438202247191,0.06741573033707865,0.34831460674157305,0.9101123595505618,0.10112359550561797,26166.24,7476.72,1536.87,4516.28,83.14,1373.34,688.11,1301.67,652.2,818.14,14,31,66,3
23,26,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,365,0.8312236286919831,11,89,0.4943820224719101,0.5056179775280899,0.02247191011235955,0.7078651685393258,0.20224719101123595,0.0449438202247191,0.0,0.02247191011235955,0.0,0.15730337078651685,0.8089887640449438,0.0,26166.24,7476.72,1536.87,4516.28,83.14,1373.34,688.11,1301.67,652.2,818.14,14,31,66,3
24,27,ACAD-SCHOLARSHIP & ENTREPRENEURSHIP,365,0.8312236286919831,12,74,0.5675675675675675,0.43243243243243246,0.013513513513513514,0.6756756756756757,0.28378378378378377,0.013513513513513514,0.0,0.013513513513513514,0.0,0.08108108108108109,0.7702702702702703,0.0,26166.24,7476.72,1536.87,4516.28,83.14,1373.34,688.11,1301.67,652.2,818.14,14,31,66,3
25,28,ACADEMY FOR EXCELLENCE-LEADERSHIP,270,0.8227194492254734,9,97,0.6185567010309279,0.38144329896907214,0.0,0.15463917525773196,0.7938144329896907,0.041237113402061855,0.0,0.010309278350515464,0.3917525773195876,0.27835051546391754,0.9278350515463918,0.18556701030927836,31772.93,7690.25,3652.75,5683.44,4.97,1949.88,977.0,1830.2,917.03,1347.64,11,46,54,0
26,29,ACADEMY FOR EXCELLENCE-LEADERSHIP,270,0.8227194492254734,10,56,0.5178571428571429,0.48214285714285715,0.03571428571428571,0.14285714285714285,0.7321428571428571,0.07142857142857142,0.017857142857142856,0.0,0.375,0.25,0.8214285714285714,0.19642857142857142,31772.93,7690.25,3652.75,5683.44,4.97,1949.88,977.0,1830.2,917.03,1347.64,11,46,54,0
27,30,ACADEMY FOR EXCELLENCE-LEADERSHIP,270,0.8227194492254734,11,68,0.47058823529411764,0.5294117647058824,0.029411764705882353,0.10294117647058823,0.8676470588235294,0.0,0.0,0.0,0.5588235294117647,0.11764705882352941,0.8970588235294118,0.17647058823529413,31772.93,7690.25,3652.75,5683.44,4.97,1949.88,977.0,1830.2,917.03,1347.64,11,46,54,0
28,31,ACADEMY FOR EXCELLENCE-LEADERSHIP,270,0.8227194492254734,12,49,0.5918367346938775,0.40816326530612246,0.0,0.14285714285714285,0.8163265306122449,0.04081632653061224,0.0,0.0,0.4489795918367347,0.14285714285714285,0.8979591836734694,0.14285714285714285,31772.93,7690.25,3652.75,5683.44,4.97,1949.88,977.0,1830.2,917.03,1347.64,11,46,54,0
29,32,ACADEMY FOR HEALTH CAREERS,256,0.8471615720524017,9,60,0.23333333333333334,0.7666666666666667,0.05,0.6,0.3,0.03333333333333333,0.0,0.016666666666666666,0.11666666666666667,0.25,0.9,0.21666666666666667,23770.0,6852.44,1076.76,3972.94,63.89,1324.47,663.63,439.29,220.11,1436.72,12,21,71,8
30,33,ACADEMY FOR HEALTH CAREERS,256,0.8471615720524017,10,70,0.2714285714285714,0.7285714285714285,0.04285714285714286,0.7,0.2,0.02857142857142857,0.0,0.02857142857142857,0.08571428571428572,0.14285714285714285,0.8142857142857143,0.11428571428571428,23770.0,6852.44,1076.76,3972.94,63.89,1324.47,663.63,439.29,220.11,1436.72,12,21,71,8
31,34,ACADEMY FOR HEALTH CAREERS,256,0.8471615720524017,11,69,0.3188405797101449,0.6811594202898551,0.07246376811594203,0.7681159420289855,0.14492753623188406,0.014492753623188406,0.0,0.0,0.0,0.13043478260869565,0.8260869565217391,0.13043478260869565,23770.0,6852.44,1076.76,3972.94,63.89,1324.47,663.63,439.29,220.11,1436.72,12,21,71,8
32,35,ACADEMY FOR HEALTH CAREERS,256,0.8471615720524017,12,57,0.19298245614035087,0.8070175438596491,0.07017543859649122,0.8070175438596491,0.08771929824561403,0.0,0.0,0.03508771929824561,0.0,0.14035087719298245,0.7894736842105263,0.0,23770.0,6852.44,1076.76,3972.94,63.89,1324.47,663.63,439.29,220.11,1436.72,12,21,71,8
33,36,ACADEMY FOR SOFTWARE ENGINEERING,426,0.9298245614035088,9,115,0.8434782608695652,0.1565217391304348,0.1391304347826087,0.23478260869565218,0.5130434782608696,0.06086956521739131,0.034782608695652174,0.017391304347826087,0.14782608695652175,0.2956521739130435,0.8434782608695652,0.12173913043478261,24749.1,6800.94,1867.93,4343.56,32.69,990.69,496.39,1016.44,509.29,971.42,12,26,74,0
34,37,ACADEMY FOR SOFTWARE ENGINEERING,426,0.9298245614035088,10,97,0.8144329896907216,0.18556701030927836,0.10309278350515463,0.36082474226804123,0.4639175257731959,0.030927835051546393,0.020618556701030927,0.020618556701030927,0.0,0.21649484536082475,0.7422680412371134,0.061855670103092786,24749.1,6800.94,1867.93,4343.56,32.69,990.69,496.39,1016.44,509.29,971.42,12,26,74,0
35,38,ACADEMY FOR SOFTWARE ENGINEERING,426,0.9298245614035088,11,104,0.8365384615384616,0.16346153846153846,0.15384615384615385,0.21153846153846154,0.49038461538461536,0.09615384615384616,0.038461538461538464,0.009615384615384616,0.08653846153846154,0.3076923076923077,0.75,0.09615384615384616,24749.1,6800.94,1867.93,4343.56,32.69,990.69,496.39,1016.44,509.29,971.42,12,26,74,0
36,39,ACADEMY FOR SOFTWARE ENGINEERING,426,0.9298245614035088,12,110,0.7909090909090909,0.20909090909090908,0.12727272727272726,0.18181818181818182,0.5545454545454546,0.11818181818181818,0.00909090909090909,0.00909090909090909,0.0,0.23636363636363636,0.6454545454545455,0.0,24749.1,6800.94,1867.93,4343.56,32.69,990.69,496.39,1016.44,509.29,971.42,12,26,74,0
37,40,ACADEMY FOR YOUNG WRITERS,369,0.9525745257452575,9,108,0.39814814814814814,0.6018518518518519,0.037037037037037035,0.6111111111111112,0.3055555555555556,0.027777777777777776,0.009259259259259259,0.009259259259259259,0.0,0.23148148148148148,0.8796296296296297,0.09259259259259259,26232.89,7557.19,2109.54,4843.54,9.47,1027.98,515.07,581.32,291.27,1577.73,10,40,55,5
38,41,ACADEMY FOR YOUNG WRITERS,369,0.9525745257452575,10,86,0.43023255813953487,0.5697674418604651,0.046511627906976744,0.5930232558139535,0.3372093023255814,0.023255813953488372,0.0,0.0,0.0,0.1744186046511628,0.9069767441860465,0.1511627906976744,26232.89,7557.19,2109.54,4843.54,9.47,1027.98,515.07,581.32,291.27,1577.73,10,40,55,5
39,42,ACADEMY FOR YOUNG WRITERS,369,0.9525745257452575,11,87,0.4367816091954023,0.5632183908045977,0.04597701149425287,0.6206896551724138,0.3333333333333333,0.0,0.0,0.0,0.05747126436781609,0.28735632183908044,0.8735632183908046,0.0,26232.89,7557.19,2109.54,4843.54,9.47,1027.98,515.07,581.32,291.27,1577.73,10,40,55,5
40,43,ACADEMY FOR YOUNG WRITERS,369,0.9525745257452575,12,88,0.4431818181818182,0.5568181818181818,0.0,0.6931818181818182,0.2727272727272727,0.022727272727272728,0.0,0.011363636363636364,0.056818181818181816,0.20454545454545456,0.8977272727272727,0.06818181818181818,26232.89,7557.19,2109.54,4843.54,9.47,1027.98,515.07,581.32,291.27,1577.73,10,40,55,5
41,44,ACADEMY OF AMERICAN STUDIES,1179,0.9619047619047619,9,340,0.5176470588235295,0.4823529411764706,0.2411764705882353,0.03823529411764706,0.3588235294117647,0.36176470588235293,0.0,0.0,0.03235294117647059,0.13529411764705881,0.7147058823529412,0.03823529411764706,18061.52,4726.02,869.08,2803.44,0.0,835.35,418.55,337.73,169.22,182.36,18,32,57,11
